sr,rr,t,lm,bo,rem,sh,hr,sl
93.8,25.68,91.84,16.6,89.84,99.6,1.84,74.2,3
91.64,25.104,91.552,15.88,89.552,98.88,1.552,72.76,3
60.0,20.0,96.0,10.0,95.0,85.0,7.0,60.0,1
85.76,23.536,90.768,13.92,88.768,96.92,0.768,68.84,3
48.12,17.248,97.872,6.496,96.248,72.48,8.248,53.12,0
56.88,19.376,95.376,9.376,94.064,83.44,6.376,58.44,1
47.0,16.8,97.2,5.6,95.8,68.0,7.8,52.0,0
50.0,18.0,99.0,8.0,97.0,80.0,9.0,55.0,0
45.28,16.112,96.168,4.224,95.112,61.12,7.112,50.28,0
55.52,19.104,95.104,9.104,93.656,82.76,6.104,57.76,1
73.44,21.344,93.344,11.344,91.344,91.72,6.369042038712754,63.36,2
59.28,19.856,95.856,9.856,94.784,84.64,8.41869864667342,59.64,1
48.6,17.44,98.16,6.88,96.44,74.4,8.740944205582764,53.6,0
96.288,26.288,85.36,17.144,82.432,100.36,4.969045970382043,75.72,4
87.8,24.08,91.04,14.6,89.04,97.6,5.236509543060592,70.2,3
52.32,18.464,94.464,8.464,92.696,81.16,8.737827279139545,56.16,1
52.64,18.528,94.528,8.528,92.792,81.32,8.925069432266296,56.32,1
86.24,23.664,90.832,14.08,88.832,97.08,5.494941876267513,69.16,3
81.56,22.416,90.208,12.52,88.208,95.52,4.073366405781195,66.04,3
63.68,20.368,92.368,10.368,90.368,86.84,6.504873888688041,60.92,2
77.6,21.76,93.76,11.76,91.76,93.8,7.426699171769105,64.4,2
77.28,21.728,93.728,11.728,91.728,93.64,7.790413675374399,64.32,2
69.76,20.976,92.976,10.976,90.976,89.88,7.023354884231332,62.44,2
88.04,24.144,91.072,14.68,89.072,97.68,5.064226970530632,70.36,3
89.96,24.656,91.328,15.32,89.328,98.32,4.214344022679552,71.64,3
53.68,18.736,94.736,8.736,93.104,81.84,8.89482473364691,56.84,1
78.56,21.856,93.856,11.856,91.856,94.28,7.065234532910046,64.64,2
50.96,18.192,94.192,8.192,92.288,80.48,8.484941007269459,55.48,1
94.76,25.936,91.968,16.92,89.968,99.92,4.538486461898762,74.84,3
62.08,20.208,92.208,10.208,90.208,86.04,6.754568326209245,60.52,2
49.12,17.648,98.472,7.296,96.648,76.48,8.040142395555453,54.12,0
96.256,26.256,85.32,17.128,82.384,100.32,4.644158331166357,75.64,4
47.68,17.072,97.608,6.144,96.072,70.72,8.422896013993089,52.68,0
99.904,29.904,89.88,18.952,87.856,104.88,4.654994704355829,84.76,4
60.0,20.0,92.0,10.0,90.0,85.0,6.239524263638502,60.0,2
86.72,23.792,90.896,14.24,88.896,97.24,5.78105456147979,69.48,3
48.48,17.392,98.088,6.784,96.392,73.92,9.187184907108096,53.48,0
98.528,28.528,88.16,18.264,85.792,103.16,5.35820463828898,81.32,4
46.12,16.448,96.672,4.896,95.448,64.48,9.578342477214676,51.12,0
98.72,28.72,88.4,18.36,86.08,103.4,4.996884397858114,81.8,4
60.96,20.096,92.096,10.096,90.096,85.48,6.173840576174848,60.24,2
65.6,20.56,92.56,10.56,90.56,87.8,7.074213083637096,61.4,2
75.36,21.536,93.536,11.536,91.536,92.68,7.173682236041758,63.84,2
49.28,17.712,98.568,7.424,96.712,77.12,9.49087894836866,54.28,0
73.28,21.328,93.328,11.328,91.328,91.64,6.863319092459359,63.32,2
98.912,28.912,88.64,18.456,86.368,103.64,4.255160605591128,82.28,4
62.88,20.288,92.288,10.288,90.288,86.44,6.567551811597449,60.72,2
97.664,27.664,87.08,17.832,84.496,102.08,4.72616459279727,79.16,4
56.72,19.344,95.344,9.344,94.016,83.36,9.291834482663202,58.36,1
96.576,26.576,85.72,17.288,82.864,100.72,5.141556609337824,76.44,4
49.6,17.84,98.76,7.68,96.84,78.4,8.712193451795692,54.6,0
53.6,18.72,94.72,8.72,93.08,81.8,9.97303049758596,56.8,1
93.2,25.52,91.76,16.4,89.76,99.4,5.211549638713774,73.8,3
46.84,16.736,97.104,5.472,95.736,67.36,8.47445358347199,51.84,0
56.08,19.216,95.216,9.216,93.824,83.04,8.203564945240807,58.04,1
75.68,21.568,93.568,11.568,91.568,92.84,6.305718278368664,63.92,2
97.536,27.536,86.92,17.768,84.304,101.92,4.491915456769016,78.84,4
92.84,25.424,91.712,16.28,89.712,99.28,4.321362746519111,73.56,3
87.56,24.016,91.008,14.52,89.008,97.52,4.373134048102612,70.04,3
